| Brand | Product Name| Units | Sale Price | Old Price | Discount|
|--------------|--------------|-------|------------|---------------|---|
| Sorbent | [Silky White Long Roll 3 Ply Toilet Rolls](https://www.newworld.co.nz/shop/product/5016281-EA-000) | sheets | $3.99 | $6.75 | 40.9%|
|  | [Telegraph Cucumber](https://www.newworld.co.nz/shop/product/5028889-EA-000) | ea | $2.49 | $3.99 | 37.6%|
| Eta | [Lite & Free Honey Mustard Dressing](https://www.newworld.co.nz/shop/product/5011743-EA-000) | ml | $2.49 | $3.79 | 34.3%|
| Eta | [Balsamic Vinaigrette](https://www.newworld.co.nz/shop/product/5025539-EA-000) | ml | $2.49 | $3.79 | 34.3%|
| Eta | [Ranch Dressing](https://www.newworld.co.nz/shop/product/5010207-EA-000) | ml | $2.49 | $3.79 | 34.3%|
| Eta | [Lite & Free French Dressing](https://www.newworld.co.nz/shop/product/5001898-EA-000) | ml | $2.49 | $3.79 | 34.3%|
| Eta | [Lite & Free Balsamic Vinaigrette](https://www.newworld.co.nz/shop/product/5013593-EA-000) | ml | $2.49 | $3.79 | 34.3%|
| Eta | [Thousand Island Dressing](https://www.newworld.co.nz/shop/product/5010208-EA-000) | ml | $2.49 | $3.79 | 34.3%|
| Eta | [Lite & Free Italian Dressing](https://www.newworld.co.nz/shop/product/5001897-EA-000) | ml | $2.49 | $3.79 | 34.3%|
| Eta | [Avocado & Garlic Dressing](https://www.newworld.co.nz/shop/product/5010205-EA-000) | ml | $2.49 | $3.79 | 34.3%|
| Eta | [Caramelised Onion Dressing](https://www.newworld.co.nz/shop/product/5017781-EA-000) | ml | $2.49 | $3.79 | 34.3%|
| Bundaberg | [Blood Orange Sparkling Drink Mini Cans](https://www.newworld.co.nz/shop/product/5310715-EA-000) | L | $4.99 | $7.39 | 32.5%|
| Bundaberg | [Ginger Beer Mini Cans](https://www.newworld.co.nz/shop/product/5258354-EA-000) | L | $4.99 | $7.39 | 32.5%|
| Bundaberg | [Passionfruit Sparkling Drink Mini Cans](https://www.newworld.co.nz/shop/product/5289812-EA-000) | L | $4.99 | $7.39 | 32.5%|
| Bundaberg | [Lemon Lime & Bitters Mini Cans](https://www.newworld.co.nz/shop/product/5289811-EA-000) | L | $4.99 | $7.39 | 32.5%|
| Bundaberg | [Pink Grapefruit Sparkling Drink Mini Cans](https://www.newworld.co.nz/shop/product/5289734-EA-000) | L | $4.99 | $7.39 | 32.5%|
| Hellers | [Sliced Smoked Garlic & Paprika Salami](https://www.newworld.co.nz/shop/product/5323172-EA-000) | kg | $2.99 | $4.39 | 31.9%|
| Hellers | [Shaved Champagne Leg Ham](https://www.newworld.co.nz/shop/product/5039342-EA-000) | kg | $2.99 | $4.39 | 31.9%|
| Hellers | [Shaved Manuka Smoked Ham](https://www.newworld.co.nz/shop/product/5039343-EA-000) | kg | $2.99 | $4.39 | 31.9%|
| Hellers | [Shaved Honey Baked Ham](https://www.newworld.co.nz/shop/product/5015077-EA-000) | kg | $2.99 | $4.39 | 31.9%|
| Hellers | [Sliced Pepperoni Salami](https://www.newworld.co.nz/shop/product/5039340-EA-000) | kg | $2.99 | $4.39 | 31.9%|
